N001,N002,150 
N001,N003,150 
N001,N004,750 
N001,N005,300 
N001,N006,450 
N001,N007,750 
N001,N008,1200 
N001,N009,750 
N001,N010,1950 
N001,N011,750 
N001,N012,300 
N001,N013,750 
N001,N014,450 
N001,N015,750 
N001,N016,750 
N001,N017,600 
N001,N018,150 
N001,N019,450 
N001,N020,450 
N001,N021,150 
N001,N022,600 
N001,N023,450 
N001,N024,150 
N002,N001,150 
N002,N003,150 
N002,N004,300 
N002,N005,150 
N002,N006,600 
N002,N007,300 
N002,N008,600 
N002,N009,300 
N002,N010,900 
N002,N011,300 
N002,N012,150 
N002,N013,450 
N002,N014,150 
N002,N015,150 
N002,N016,600 
N002,N017,300 
N002,N019,150 
N002,N020,150 
N002,N022,150 
N003,N001,150 
N003,N002,150 
N003,N004,300 
N003,N005,150 
N003,N006,450 
N003,N007,150 
N003,N008,300 
N003,N009,150 
N003,N010,450 
N003,N011,450 
N003,N012,300 
N003,N013,150 
N003,N014,150 
N003,N015,150 
N003,N016,300 
N003,N017,150 
N003,N022,150 
N003,N023,150 
N004,N001,750 
N004,N002,300 
N004,N003,300 
N004,N005,750 
N004,N006,600 
N004,N007,600 
N004,N008,1050 
N004,N009,1050 
N004,N010,1800 
N004,N011,2100 
N004,N012,900 
N004,N013,900 
N004,N014,750 
N004,N015,750 
N004,N016,1200 
N004,N017,750 
N004,N018,150 
N004,N019,300 
N004,N020,450 
N004,N021,300 
N004,N022,600 
N004,N023,750 
N004,N024,300 
N005,N001,300 
N005,N002,150 
N005,N003,150 
N005,N004,750 
N005,N006,300 
N005,N007,300 
N005,N008,750 
N005,N009,1200 
N005,N010,1500 
N005,N011,750 
N005,N012,300 
N005,N013,300 
N005,N014,150 
N005,N015,300 
N005,N016,750 
N005,N017,300 
N005,N019,150 
N005,N020,150 
N005,N021,150 
N005,N022,300 
N005,N023,150 
N006,N001,450 
N006,N002,600 
N006,N003,450 
N006,N004,600 
N006,N005,300 
N006,N007,600 
N006,N008,1200 
N006,N009,600 
N006,N010,1200 
N006,N011,600 
N006,N012,300 
N006,N013,300 
N006,N014,150 
N006,N015,300 
N006,N016,1350 
N006,N017,750 
N006,N018,150 
N006,N019,300 
N006,N020,450 
N006,N021,150 
N006,N022,300 
N006,N023,150 
N006,N024,150 
N007,N001,750 
N007,N002,300 
N007,N003,150 
N007,N004,600 
N007,N005,300 
N007,N006,600 
N007,N008,1500 
N007,N009,900 
N007,N010,2850 
N007,N011,750 
N007,N012,1050 
N007,N013,600 
N007,N014,300 
N007,N015,750 
N007,N016,2100 
N007,N017,1500 
N007,N018,300 
N007,N019,600 
N007,N020,750 
N007,N021,300 
N007,N022,750 
N007,N023,300 
N007,N024,150 
N008,N001,1200 
N008,N002,600 
N008,N003,300 
N008,N004,1050 
N008,N005,750 
N008,N006,1200 
N008,N007,1500 
N008,N009,1200 
N008,N010,2400 
N008,N011,1200 
N008,N012,900 
N008,N013,900 
N008,N014,600 
N008,N015,900 
N008,N016,3300 
N008,N017,2100 
N008,N018,450 
N008,N019,1050 
N008,N020,1350 
N008,N021,600 
N008,N022,750 
N008,N023,450 
N008,N024,300 
N009,N001,750 
N009,N002,300 
N009,N003,150 
N009,N004,1050 
N009,N005,1200 
N009,N006,600 
N009,N007,900 
N009,N008,1200 
N009,N010,4200 
N009,N011,2100 
N009,N012,900 
N009,N013,900 
N009,N014,900 
N009,N015,1350 
N009,N016,2100 
N009,N017,1350 
N009,N018,300 
N009,N019,600 
N009,N020,900 
N009,N021,450 
N009,N022,1050 
N009,N023,750 
N009,N024,300 
N010,N001,1950 
N010,N002,900 
N010,N003,450 
N010,N004,1800 
N010,N005,1500 
N010,N006,1200 
N010,N007,2850 
N010,N008,2400 
N010,N009,4200 
N010,N011,6000 
N010,N012,3000 
N010,N013,2850 
N010,N014,3150 
N010,N015,6000 
N010,N016,6600 
N010,N017,5850 
N010,N018,1050 
N010,N019,2700 
N010,N020,3750 
N010,N021,1800 
N010,N022,3900 
N010,N023,2700 
N010,N024,1200 
N011,N001,750 
N011,N002,300 
N011,N003,450 
N011,N004,2250 
N011,N005,750 
N011,N006,600 
N011,N007,750 
N011,N008,1200 
N011,N009,2100 
N011,N010,5850 
N011,N012,2100 
N011,N013,1500 
N011,N014,2400 
N011,N015,2100 
N011,N016,2100 
N011,N017,1500 
N011,N018,150 
N011,N019,600 
N011,N020,900 
N011,N021,600 
N011,N022,1650 
N011,N023,1950 
N011,N024,900 
N012,N001,300 
N012,N002,150 
N012,N003,300 
N012,N004,900 
N012,N005,300 
N012,N006,300 
N012,N007,1050 
N012,N008,900 
N012,N009,900 
N012,N010,3000 
N012,N011,2100 
N012,N013,1950 
N012,N014,1050 
N012,N015,1050 
N012,N016,1050 
N012,N017,900 
N012,N018,300 
N012,N019,450 
N012,N020,600 
N012,N021,450 
N012,N022,1050 
N012,N023,1050 
N012,N024,750 
N013,N001,750 
N013,N002,450 
N013,N003,150 
N013,N004,900 
N013,N005,300 
N013,N006,300 
N013,N007,600 
N013,N008,900 
N013,N009,900 
N013,N010,2850 
N013,N011,1500 
N013,N012,1950 
N013,N014,900 
N013,N015,1050 
N013,N016,900 
N013,N017,750 
N013,N018,150 
N013,N019,450 
N013,N020,900 
N013,N021,900 
N013,N022,1950 
N013,N023,1200 
N013,N024,1200 
